user_id,prod_id,rating,timestamp
A3LDPF5FMB782Z,1400501466,5.0,1336003200
A1A5KUIIIHFF4U,1400501466,1.0,1332547200
A2XIOXRRYX0KZY,1400501466,3.0,1371686400
AW3LX47IHPFRL,1400501466,5.0,1339804800
A1E3OB6QMBKRYZ,1400501466,1.0,1350086400
A19N3S7CBSU6O7,1400501466,5.0,1322697600
A2ZR3YTMEEIIZ4,1400532655,5.0,1300233600
A3CLWR1UUZT6TG,1400532655,5.0,1291420800
A5JLAU2ARJ0BO,1400532655,1.0,1291334400
A1P4XD7IORSEFN,1400532655,4.0,1324166400
A341HCMGNZCBIT,1400532655,5.0,1302048000
A3HPCRD9RX351S,1400532655,3.0,1332028800
A1DQHS7MOVYYYA,1400599997,5.0,1279584000
ALUNVOQRXOZIA,1400599997,1.0,1271548800
A19N3S7CBSU6O7,1400599997,5.0,1262044800
A3G7BEJJCPD6DS,1400599997,4.0,1288569600
A2JXS1JII6SAUD,1400599997,5.0,1278547200
A1C82BC5GNABOA,9983891212,5.0,1397088000
A1VHCO8RQFIGQJ,9983891212,4.0,1362355200
A2Z9S2RQD542CP,9983891212,5.0,1344902400
A2QIC4G483SQQA,9983891212,5.0,1340409600
A3L6L5O89JTX2T,9983891212,5.0,1320796800
A1OGCPMSIVK7G4,9983891212,5.0,1384992000
A18HE80910BTZI,9983891212,5.0,1328572800
A3F9CBHV4OHFBS,9983891212,5.0,1377475200
A1T1YSCDW0PD25,B00000DM9W,5.0,1123113600
ABVYGB2TKBO8F,B00000DM9W,5.0,1105315200
A11ED8O95W2103,B00000DM9W,5.0,1167696000
A3NCIN6TNL0MGA,B00000DM9W,5.0,1166918400
ASHJAZC9OA9NS,B00000DM9W,5.0,1181952000
A105TOJ6LTVMBG,B00000J1V5,4.0,1367020800
A14JBDSWKPKTZA,B00000J1V5,5.0,1074556800
A3QX0ERX4D03TF,B00000J1V5,5.0,1390867200
A13WREJ05GMRA6,B00000J1V5,3.0,1386892800
A3N8O68DOEQ2FE,B00000J1V5,5.0,1370044800
A3J8A5L5AF5TX9,B00000J1V5,5.0,1306972800
A2HRHF83I3NDGT,B00000J1V5,5.0,1385942400
A14JBDSWKPKTZA,B00000JDF5,5.0,1063152000
A1R3GN9MEJFXM3,B00000JDF5,5.0,1384905600
A3963R7EPE3A7E,B00000JDF5,5.0,1271808000
